50 Alpine St,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
204 Cedar St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
132 Cedar St,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
127 Josephine Ave,A,Somerville,MA,2144,,,,,,,,,,,,,,,,,
57 Bartlett St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
58 Warwick St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
464 BROADWAY,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
36 Clyde St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
215 Highland Ave,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
121 Highland Rd,3,Somerville,MA,2144,,,,,,,,,,,,,,,,,
57 Boston Ave,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
168 Albion St,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
